LGA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
LGA33430,239,322,1575,2812,820,5769,431,2890,264,15129,1347,2952,4089,4697,2739,4651,987,3018,410,24893,6339,12009,10162,7113,6806,5277,2553,5163,899,56327,8552,12836,9159,6238,8095,4782,2755,4531,1040,57982,8545,10409,7897,6114,8878,5333,3194,4893,941,56207,5395,6918,4806,3728,6251,4115,2507,3810,594,38119,1648,1990,1082,730,1663,1497,761,1058,271,10689,214,209,68,56,143,141,51,114,84,1082,27,18,5,7,10,12,3,7,33,114,32304,47673,38843,31490,35396,31582,13244,25481,4535,260548
LGA33610,7,3,45,36,11,74,16,66,3,268,30,34,88,59,31,39,35,80,0,391,136,152,157,88,109,56,86,155,10,942,199,148,109,96,118,67,92,110,12,938,265,120,112,96,143,66,108,136,16,1067,227,101,79,73,92,54,109,144,15,891,107,15,16,10,21,23,39,38,6,275,42,0,3,0,9,0,3,4,0,67,4,0,3,0,0,0,0,3,0,15,1011,566,608,450,538,388,484,739,65,4855
LGA33620,20,15,160,153,59,382,34,280,40,1141,55,83,282,176,106,195,88,286,16,1282,257,337,583,314,295,266,249,429,41,2771,394,502,611,404,438,279,308,470,40,3442,580,622,596,543,518,362,457,612,66,4360,585,506,456,362,434,231,350,497,63,3476,279,107,73,57,94,59,83,91,24,867,67,20,7,7,6,3,3,8,24,140,14,3,5,0,0,0,0,0,0,23,2239,2191,2764,2008,1959,1775,1575,2677,309,17499
LGA33800,0,9,61,37,9,101,4,52,6,287,7,41,100,32,29,23,24,41,0,294,48,106,145,63,64,42,73,80,4,630,89,131,110,82,100,71,104,99,6,787,177,130,155,133,167,64,164,137,10,1143,186,116,125,110,87,57,135,134,15,965,138,22,31,24,31,20,35,36,11,348,53,0,3,3,10,3,3,8,5,92,9,0,0,0,0,0,0,0,3,12,704,558,738,496,499,373,554,588,60,4562
LGA33830,0,0,0,3,0,0,0,3,0,9,0,0,0,4,7,0,6,7,4,23,3,6,6,14,10,0,6,4,3,59,10,7,3,4,7,0,14,4,3,59,3,5,6,10,0,0,7,9,3,49,3,4,0,5,0,0,0,3,3,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,19,45,26,3,31,43,15,230
LGA33960,97,66,596,764,294,1891,187,1133,86,5104,419,738,1664,1392,1121,1361,741,1373,161,8957,1691,3557,3741,2595,3128,1641,1988,2294,413,21053,2077,3476,2749,2337,2937,1259,1891,2062,354,19149,2025,2537,2368,2147,2870,1141,2029,2109,298,17523,1055,1547,1327,1286,1693,668,1275,1436,157,10441,200,310,237,211,234,133,252,228,48,1856,28,26,20,8,13,17,19,28,9,174,5,0,4,0,3,0,0,0,7,18,7596,12254,12705,10747,12294,8118,8383,10654,1534,84285
LGA33980,8,3,87,69,27,112,32,135,4,482,32,110,202,70,76,63,108,166,9,833,243,439,673,163,240,86,577,201,33,2653,320,277,536,163,232,82,673,192,34,2507,308,154,363,104,185,79,589,214,32,2030,258,58,189,38,95,38,341,161,17,1196,95,15,19,3,16,6,40,29,6,233,20,0,3,0,0,0,3,7,0,40,7,0,0,0,0,0,0,0,0,8,1291,1063,2067,606,869,467,2364,1112,135,9972
LGA34420,0,0,0,3,0,0,0,0,0,4,0,3,3,5,0,0,0,6,0,26,5,11,4,13,4,5,0,9,4,46,3,9,6,20,6,0,3,10,0,50,5,0,8,13,3,3,6,12,3,54,8,9,4,6,0,3,3,0,0,41,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,35,63,15,9,9,31,11,227
LGA34530,14,11,153,185,45,394,26,212,11,1059,58,85,335,198,118,156,75,157,21,1194,223,435,600,274,283,165,251,207,35,2468,400,572,638,365,428,204,345,261,52,3265,527,642,591,409,584,248,466,334,57,3862,421,508,420,280,401,188,356,272,55,2904,132,116,59,40,66,36,54,61,13,569,37,16,3,0,11,4,7,17,9,92,3,0,0,0,3,0,0,0,3,7,1812,2384,2804,1752,1943,1395,1570,1521,246,15425
LGA34570,0,0,3,3,0,0,0,8,0,18,0,3,0,8,0,0,0,0,3,13,3,14,4,13,6,0,3,5,3,51,4,3,8,6,4,0,3,7,7,37,5,3,0,6,3,0,3,14,0,36,0,10,3,7,0,0,0,6,0,23,0,0,0,0,0,0,3,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,35,19,39,11,4,12,45,21,189
