Application ID,Program Round,Business Name,State Electorate 2017,Local Gov Area,Priority Area,Grant Funding Amount
BBAS200793,Business Basics Round 2,QE GOLD PROFESSIONALS GROUP PTY LTD,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200795,Business Basics Round 2,Sabih Interiors,MACKAY,MACKAY REGIONAL,Strategic marketing services,5000
BBAS200797,Business Basics Round 2,DAINTREE BARRAMUNDI RECREATION CENTRE TA HOOK A BARRA,COOK,DOUGLAS SHIRE,Website build/upgrades,5000
BBAS200799,Business Basics Round 2,Premier Property Solutions Pty Ltd,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200800,Business Basics Round 2,Tree Audio Visual Management Pty ltd,BARRON RIVER,MAREEBA SHIRE,Website build/upgrades,5000
BBAS200805,Business Basics Round 2,Embody Building Design,GLADSTONE,GLADSTONE REGIONAL,Professional business advice,5000
BBAS200808,Business Basics Round 2,The Trustee for the Porter Family Trust,WARREGO,WESTERN DOWNS REGIONAL,Website build/upgrades,5000
BBAS200810,Business Basics Round 2,Gone Fishing Cairns,CAIRNS,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS200811,Business Basics Round 2,wrasse & roe pty ltd,COOK,DOUGLAS SHIRE,Website build/upgrades,5000
BBAS200813,Business Basics Round 2,Active Travel Group Pty Ltd,GYMPIE,GYMPIE REGIONAL,Website build/upgrades,5000
BBAS200814,Business Basics Round 2,Escape Rooms Mackay,MACKAY,MACKAY REGIONAL,Strategic marketing services,5000
BBAS200815,Business Basics Round 2,Craft Distributors Pty Ltd,COOK,DOUGLAS SHIRE,Website build/upgrades,5000
BBAS200816,Business Basics Round 2,JMV Create,SOUTHERN DOWNS,GOONDIWINDI REGIONAL,Training and coaching,5000
BBAS200817,Business Basics Round 2,Peach Constructions,MULGRAVE,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200818,Business Basics Round 2,Soul Explorer,ROCKHAMPTON,ROCKHAMPTON REGIONAL,Training and coaching,5000
BBAS200820,Business Basics Round 2,Cairns City Paint & Panel Pty LTd,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200821,Business Basics Round 2,Nuntio Pty Ltd,KEPPEL,ROCKHAMPTON REGIONAL,Training and coaching,5000
BBAS200826,Business Basics Round 2,TnT BookKepping Services FNQ,HINCHINBROOK,CASSOWARY COAST REGIONAL,Training and coaching,5000
BBAS200827,Business Basics Round 2,Citysider Holiday Apartments,CAIRNS,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS200829,Business Basics Round 2,Lighten Up NQ Pty Ltd,TOWNSVILLE,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS200834,Business Basics Round 2,Port Douglas Weddings,COOK,DOUGLAS SHIRE,Strategic marketing services,5000
BBAS200835,Business Basics Round 2,High Profile Cleaning Pty Ltd,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200837,Business Basics Round 2,Soul Escapes Wellness Snactuary,BARRON RIVER,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS200839,Business Basics Round 2,Bud Brothers Jerky,HINCHINBROOK,CASSOWARY COAST REGIONAL,Strategic marketing services,5000
BBAS200840,Business Basics Round 2,Cairns reef apartments,MULGRAVE,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200841,Business Basics Round 2,SBH Consultancy,GLADSTONE,GLADSTONE REGIONAL,Professional business advice,5000
BBAS200843,Business Basics Round 2,Get the Wordsmith Pty Ltd,TOWNSVILLE,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS200844,Business Basics Round 2,Linkforce Holdings Pty Ltd trading as Aussie Rural Artists,BURDEKIN,ISAAC REGIONAL,Website build/upgrades,5000
BBAS200861,Business Basics Round 2,SM & CM  Solutions PTY LTD (Trading as ) 40 Love Financial,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200862,Business Basics Round 2,Daydream Vintage,GLADSTONE,GLADSTONE REGIONAL,Website build/upgrades,5000
BBAS200863,Business Basics Round 2,Powerhouse Fitness Centre,GLADSTONE,GLADSTONE REGIONAL,Professional business advice,5000
BBAS200865,Business Basics Round 2,Kieran Broome,GYMPIE,GYMPIE REGIONAL,Website build/upgrades,5000
BBAS200867,Business Basics Round 2,Smart State Earthworks,BURDEKIN,ISAAC REGIONAL,Website build/upgrades,5000
BBAS200868,Business Basics Round 2,Dan & Steph Pty Ltd,HERVEY BAY,FRASER COAST REGIONAL,Website build/upgrades,5000
BBAS200870,Business Basics Round 2,Towers Pool Care,TRAEGER,CHARTERS TOWERS REGIONAL,Website build/upgrades,5000
BBAS200871,Business Basics Round 2,Softwash NQ,MIRANI,MACKAY REGIONAL,Strategic marketing services,5000
BBAS200874,Business Basics Round 2,Sage Financial Advice,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200877,Business Basics Round 2,Plan It Your Way,WHITSUNDAY,WHITSUNDAY REGIONAL,Website build/upgrades,5000
BBAS200878,Business Basics Round 2,Chezs House Of Dance,WHITSUNDAY,WHITSUNDAY REGIONAL,Website build/upgrades,5000
BBAS200883,Business Basics Round 2,Jacand family trust t/a NQ Hire Boats,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200884,Business Basics Round 2,Culture Connect,CAIRNS,CAIRNS REGIONAL,Business continuity and succession,5000
BBAS200886,Business Basics Round 2,NANA INTERNATIONAL PTY LTD,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200889,Business Basics Round 2,Topaz Sustainable Timbers,HILL,TABLELANDS REGIONAL,Website build/upgrades,5000
BBAS200890,Business Basics Round 2,Earth Next Pty Ltd trading as Hamel Institute,MACKAY,MACKAY REGIONAL,Strategic marketing services,5000
BBAS200895,Business Basics Round 2,Yabba Creek Deli Cafe,GYMPIE,GYMPIE REGIONAL,Strategic marketing services,5000
BBAS200896,Business Basics Round 2,Oz Baby Hire Pty Ltd,CAIRNS,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS200897,Business Basics Round 2,Kulur Co,CAIRNS,CAIRNS REGIONAL,Training and coaching,5000
BBAS200898,Business Basics Round 2,Silver Lining Bookkeeping Solutions,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200906,Business Basics Round 2,Tropicopy,MULGRAVE,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200907,Business Basics Round 2,Brown Macaulay & Warren Audit Pty Ltd,GYMPIE,GYMPIE REGIONAL,Training and coaching,5000
BBAS200910,Business Basics Round 2,A Tropical Nite (trading as Tropical Nites),COOK,DOUGLAS SHIRE,Website build/upgrades,5000
BBAS200911,Business Basics Round 2,I and D Maintenance,MIRANI,MACKAY REGIONAL,Training and coaching,5000
BBAS200912,Business Basics Round 2,Busy Bees Babysitting Services,COOK,DOUGLAS SHIRE,Website build/upgrades,5000
BBAS200914,Business Basics Round 2,Strong Communities Ltd,GLADSTONE,GLADSTONE REGIONAL,Training and coaching,5000
BBAS200915,Business Basics Round 2,Amber Therapy,BUNDABERG,BUNDABERG REGIONAL,Strategic marketing services,5000
BBAS200916,Business Basics Round 2,Edward Manier trading as Divine Hairdresser Cairns,CAIRNS,CAIRNS REGIONAL,Business continuity and succession,5000
BBAS200917,Business Basics Round 2,Mainie Australia,CAIRNS,CAIRNS REGIONAL,Professional business advice,5000
BBAS200918,Business Basics Round 2,BRACKS Indigenous Clothing,TOWNSVILLE,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS200919,Business Basics Round 2,Nicole Watson,MACKAY,MACKAY REGIONAL,Website build/upgrades,5000
BBAS200921,Business Basics Round 2,Cre8 Design Pty Ltd,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200928,Business Basics Round 2,Australian Cattle Equpiment,HINCHINBROOK,CASSOWARY COAST REGIONAL,Website build/upgrades,5000
BBAS200929,Business Basics Round 2,Studio Vogue Salon,GYMPIE,GYMPIE REGIONAL,Website build/upgrades,5000
BBAS200934,Business Basics Round 2,ZenBook Pty Ltd,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200936,Business Basics Round 2,Island View Motel,TOWNSVILLE,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS200937,Business Basics Round 2,A and B Rights Pty Ltd,BARRON RIVER,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS200941,Business Basics Round 2,Hannah Stephens,COOK,MAREEBA SHIRE,Training and coaching,5000
BBAS200944,Business Basics Round 2,Con Hagiaglou,TOWNSVILLE,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS200945,Business Basics Round 2,Kamaria,MARYBOROUGH,FRASER COAST REGIONAL,Website build/upgrades,5000
BBAS200946,Business Basics Round 2,Starpin Pty Limited t/a Absolute Air conditioning & Refrigeration Services,GLADSTONE,GLADSTONE REGIONAL,Training and coaching,5000
BBAS200949,Business Basics Round 2,BizOffsider,HILL,TABLELANDS REGIONAL,Training and coaching,5000
BBAS200950,Business Basics Round 2,Barron River Catchment Management Association Inc.,HILL,TABLELANDS REGIONAL,Website build/upgrades,5000
BBAS200952,Business Basics Round 2,Earth Guardians Pty Ltd,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200960,Business Basics Round 2,Creating Edge,BURNETT,BUNDABERG REGIONAL,Website build/upgrades,5000
BBAS200961,Business Basics Round 2,DIGITAL GOOGLY PTY LTD,BARRON RIVER,CAIRNS REGIONAL,Training and coaching,5000
BBAS200962,Business Basics Round 2,https://julies-unique-gifts.myshopify.com,HINCHINBROOK,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS200966,Business Basics Round 2,Mary Ann Frey,SOUTHERN DOWNS,GOONDIWINDI REGIONAL,Strategic marketing services,5000
BBAS200968,Business Basics Round 2,Bennett Juan Walker,COOK,DOUGLAS SHIRE,Business continuity and succession,5000
BBAS200969,Business Basics Round 2,The Whitsundays Week,WHITSUNDAY,WHITSUNDAY REGIONAL,Website build/upgrades,5000
BBAS200973,Business Basics Round 2,LAZULI-T PTY LTD,TOWNSVILLE,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS200976,Business Basics Round 2,Little Explorers Toy Shop,WHITSUNDAY,WHITSUNDAY REGIONAL,Strategic marketing services,5000
BBAS200980,Business Basics Round 2,KB Design,WHITSUNDAY,WHITSUNDAY REGIONAL,Website build/upgrades,5000
BBAS200981,Business Basics Round 2,Katie Mossman,ROCKHAMPTON,ROCKHAMPTON REGIONAL,Training and coaching,5000
BBAS200985,Business Basics Round 2,Warwick District Drag Racing Association Inc.,SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,Website build/upgrades,5000
BBAS200986,Business Basics Round 2,IN2AUS P/L  ATF IN2AUS Trust T/As Coral Coast Migration Service,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200988,Business Basics Round 2,Agency In A Box Pty Ltd,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200989,Business Basics Round 2,G & L Hertmanni Pty Ltd,BARRON RIVER,CAIRNS REGIONAL,Strategic marketing services,5000
