Application ID,Program Round,Business Name,State Electorate 2017,Local Gov Area,Priority Area,Grant Funding Amount
BBAS201142,Business Basics Round 2,Andrew Christopher Hilary Forrester,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201143,Business Basics Round 2,Holiday Au Pty Ltd,BARRON RIVER,CAIRNS REGIONAL,Training and coaching,5000
BBAS201147,Business Basics Round 2,Navarro Lawyers,TOWNSVILLE,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS201148,Business Basics Round 2,Stephen Lane Electrical,BURNETT,BUNDABERG REGIONAL,Website build/upgrades,5000
BBAS201150,Business Basics Round 2,Planning in Paradise Pty Ltd T/as Norfolk Wealth,BARRON RIVER,CAIRNS REGIONAL,Professional business advice,5000
BBAS201151,Business Basics Round 2,Aerial Media Gladstone,GLADSTONE,GLADSTONE REGIONAL,Website build/upgrades,5000
BBAS201153,Business Basics Round 2,"Blair Arthur Shimmield, Dawn Sharon Shimmield, Rowan Leah Shimmield, trading as licuala Lodge",HILL,CASSOWARY COAST REGIONAL,Strategic marketing services,5000
BBAS201156,Business Basics Round 2,NQ Family Therapy Centre PTY LTD,MUNDINGBURRA,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS201158,Business Basics Round 2,Jo-Ellen.B,HILL,TABLELANDS REGIONAL,Website build/upgrades,5000
BBAS201159,Business Basics Round 2,Daniel Towne & Company Pty Ltd A.C.N. 601377995,CAIRNS,CAIRNS REGIONAL,Training and coaching,5000
BBAS201160,Business Basics Round 2,Health moves Exercise Physiology,CAIRNS,CAIRNS REGIONAL,Professional business advice,5000
BBAS201161,Business Basics Round 2,Platinum Star Ventures Pty Ltd,CAIRNS,CAIRNS REGIONAL,Professional business advice,5000
BBAS201162,Business Basics Round 2,KP Fitness Centre,TRAEGER,MOUNT ISA CITY,Website build/upgrades,5000
BBAS201165,Business Basics Round 2,CampdraftAus,BURDEKIN,ISAAC REGIONAL,Strategic marketing services,5000
BBAS201170,Business Basics Round 2,J.T Hanson & N.A Hanson,GYMPIE,GYMPIE REGIONAL,Training and coaching,5000
BBAS201171,Business Basics Round 2,Realestate pro pix,HERVEY BAY,FRASER COAST REGIONAL,Website build/upgrades,5000
BBAS201175,Business Basics Round 2,Karen Ronlund (KOR Psych),CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201184,Business Basics Round 2,"Sea, Sun and Air Pty Ltd trading as Western Cape Eco Tours",COOK,WEIPA TOWN,Website build/upgrades,5000
BBAS201185,Business Basics Round 2,"Flexible Learning Pathways, T/A Dare to",NANANGO,SOUTH BURNETT REGIONAL,Website build/upgrades,5000
BBAS201197,Business Basics Round 2,Darren Thorley Plumbing Pty Ltd ATF Thorley Trust T/A My Plumber Townsville,TOWNSVILLE,TOWNSVILLE CITY,Training and coaching,5000
BBAS201199,Business Basics Round 2,QCWA Abergowrie/Longpocket Branch,HINCHINBROOK,HINCHINBROOK SHIRE,Website build/upgrades,5000
BBAS201200,Business Basics Round 2,3 Little Birds Espresso,WHITSUNDAY,WHITSUNDAY REGIONAL,Business continuity and succession,5000
BBAS201202,Business Basics Round 2,Jade Holland,MARYBOROUGH,FRASER COAST REGIONAL,Strategic marketing services,5000
BBAS201203,Business Basics Round 2,Momentum Gymnastics,HILL,TABLELANDS REGIONAL,Website build/upgrades,5000
BBAS201206,Business Basics Round 2,Beer Electrical NQ,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201207,Business Basics Round 2,Admin and Careers,HINCHINBROOK,HINCHINBROOK SHIRE,Website build/upgrades,5000
BBAS201208,Business Basics Round 2,ABH Resources,HILL,TABLELANDS REGIONAL,Website build/upgrades,5000
BBAS201209,Business Basics Round 2,PTC Solutions,COOK,DOUGLAS SHIRE,Website build/upgrades,5000
BBAS201210,Business Basics Round 2,CP Industries T/A Purifyair Wide Bay/ Bundaberg,MARYBOROUGH,FRASER COAST REGIONAL,Strategic marketing services,5000
BBAS201211,Business Basics Round 2,Jules' Cookie Cutters,BURDEKIN,ISAAC REGIONAL,Training and coaching,5000
BBAS201214,Business Basics Round 2,Story Book Cakes,SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,Strategic marketing services,5000
BBAS201216,Business Basics Round 2,Wayne Alexander Christiansen,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201219,Business Basics Round 2,Devils Thumb Distillery,COOK,DOUGLAS SHIRE,Website build/upgrades,5000
BBAS201220,Business Basics Round 2,LJ & NA Campbell,SOUTHERN DOWNS,GOONDIWINDI REGIONAL,Training and coaching,5000
BBAS201221,Business Basics Round 2,Cairns Performance Massage,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201222,Business Basics Round 2,Pieter Rudolphy,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201223,Business Basics Round 2,lil latte recruitment,CAIRNS,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS201224,Business Basics Round 2,Barcoo Bush Nursery,GREGORY,BLACKALL-TAMBO REGIONAL,Training and coaching,5000
BBAS201226,Business Basics Round 2,Stixpix Productions,BURNETT,GLADSTONE REGIONAL,Website build/upgrades,5000
BBAS201227,Business Basics Round 2,LowBrau Brewing PTY LTD trading as YEPP Brewing Company,KEPPEL,LIVINGSTONE SHIRE,Website build/upgrades,5000
BBAS201229,Business Basics Round 2,Nicole Hinder t/as CQ Markets and Events,MIRANI,LIVINGSTONE SHIRE,Website build/upgrades,5000
BBAS201231,Business Basics Round 2,Parkside florist,THURINGOWA,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201233,Business Basics Round 2,Lack Investments Pty Ltd as trustee for Lack Family Trust trading as Indige Corp Support,HERVEY BAY,FRASER COAST REGIONAL,Website build/upgrades,5000
BBAS201236,Business Basics Round 2,Mama & Boo,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201240,Business Basics Round 2,Kevla Enterprises Pty Ltd,BURDEKIN,WHITSUNDAY REGIONAL,Training and coaching,5000
BBAS201246,Business Basics Round 2,Rhyne Horticulture,BURNETT,BUNDABERG REGIONAL,Website build/upgrades,5000
BBAS201248,Business Basics Round 2,Klean Skins Laser Studio,GLADSTONE,GLADSTONE REGIONAL,Website build/upgrades,5000
BBAS201251,Business Basics Round 2,Bohemian Elyse,MACKAY,MACKAY REGIONAL,Website build/upgrades,5000
BBAS201254,Business Basics Round 2,Foraging Organics PTY LTD,SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,Strategic marketing services,5000
BBAS201257,Business Basics Round 2,Fendcourt P/l trading as Cape York Adventures,COOK,NORTHERN PENINSULA AREA REGIONAL,Website build/upgrades,5000
BBAS201258,Business Basics Round 2,Think Pink Property Pty Ltd,MUNDINGBURRA,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS201260,Business Basics Round 2,Thermal Hyperformance Pty Ltd,MARYBOROUGH,FRASER COAST REGIONAL,Website build/upgrades,5000
BBAS201264,Business Basics Round 2,Clare Margaret Evans,GLADSTONE,GLADSTONE REGIONAL,Website build/upgrades,5000
BBAS201267,Business Basics Round 2,Brolga Media Pty Ltd,KEPPEL,LIVINGSTONE SHIRE,Website build/upgrades,5000
BBAS201269,Business Basics Round 2,Skills Unite PTY LTD,BURNETT,BUNDABERG REGIONAL,Website build/upgrades,5000
BBAS201272,Business Basics Round 2,Ray Hourigan & Associates,HERVEY BAY,FRASER COAST REGIONAL,Website build/upgrades,5000
BBAS201273,Business Basics Round 2,Flourish Resources,GREGORY,BARCALDINE REGIONAL,Strategic marketing services,5000
BBAS201277,Business Basics Round 2,Chloe Nadine Barr,HILL,TABLELANDS REGIONAL,Website build/upgrades,5000
BBAS201278,Business Basics Round 2,PamperClub P/L,ROCKHAMPTON,ROCKHAMPTON REGIONAL,Website build/upgrades,5000
BBAS201281,Business Basics Round 2,CROSS Asia Pacific Pty,ROCKHAMPTON,ROCKHAMPTON REGIONAL,Website build/upgrades,5000
BBAS201286,Business Basics Round 2,Babinda District Community Association Inc,HILL,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201288,Business Basics Round 2,Connecting with Horses,GYMPIE,GYMPIE REGIONAL,Website build/upgrades,5000
BBAS201289,Business Basics Round 2,Tropical Hill,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201290,Business Basics Round 2,El Arish Country Club Inc,HILL,CASSOWARY COAST REGIONAL,Website build/upgrades,5000
BBAS201292,Business Basics Round 2,Keppel Explorer,KEPPEL,LIVINGSTONE SHIRE,Training and coaching,5000
BBAS201293,Business Basics Round 2,Trackers Queensland PTY LTD,GREGORY,BARCALDINE REGIONAL,Website build/upgrades,5000
BBAS201294,Business Basics Round 2,Bundaberg Shuttle Service,BUNDABERG,BUNDABERG REGIONAL,Website build/upgrades,5000
BBAS201295,Business Basics Round 2,Jecor Investments Pty Ltd atf Jecor Business Trust t/a Jecor Finance Solutions,MULGRAVE,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201297,Business Basics Round 2,VIP Dog Grooming,BUNDABERG,BUNDABERG REGIONAL,Website build/upgrades,5000
BBAS201299,Business Basics Round 2,Sea Country Australia Pty Ltd,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201300,Business Basics Round 2,Fruition Constructions,WHITSUNDAY,WHITSUNDAY REGIONAL,Training and coaching,5000
BBAS201302,Business Basics Round 2,Australia Sail & Dive Cruises Pty Ltd,WHITSUNDAY,WHITSUNDAY REGIONAL,Website build/upgrades,5000
BBAS201307,Business Basics Round 2,Mindset Investing Trading as Healthy Little Eaters,TOWNSVILLE,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS201309,Business Basics Round 2,Richard Anthony Yates- Trading as - Health Cover Now,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201310,Business Basics Round 2,Cutting Edge Design,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201313,Business Basics Round 2,Complete Street and Offroad,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201316,Business Basics Round 2,SELF-MANAGED INVESTMENTS PTY LTD Trading as The Villas Palm Cove,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201318,Business Basics Round 2,SEA 2U,MIRANI,MACKAY REGIONAL,Website build/upgrades,5000
BBAS201319,Business Basics Round 2,NQ Comfrey,HILL,CASSOWARY COAST REGIONAL,Website build/upgrades,5000
BBAS201320,Business Basics Round 2,Four Way Kennels,BURNETT,BUNDABERG REGIONAL,Website build/upgrades,5000
BBAS201328,Business Basics Round 2,mission thai,HILL,CASSOWARY COAST REGIONAL,Website build/upgrades,5000
BBAS201332,Business Basics Round 2,Tolga Bat Rescue and Research,HILL,TABLELANDS REGIONAL,Training and coaching,5000
BBAS201333,Business Basics Round 2,T-Shirt World,TOWNSVILLE,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201336,Business Basics Round 2,Empire of Bees,WHITSUNDAY,MACKAY REGIONAL,Website build/upgrades,5000
BBAS201337,Business Basics Round 2,SmartSite 4u,CAIRNS,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS201339,Business Basics Round 2,AA Rural Consulting Pty Ltd,TOWNSVILLE,TOWNSVILLE CITY,Training and coaching,5000
BBAS201340,Business Basics Round 2,Like Mum Used to Make,GREGORY,CENTRAL HIGHLANDS REGIONAL,Website build/upgrades,5000
BBAS201341,Business Basics Round 2,AIRLIE BEACH SWIM SCHOOL BY DANIELLE,WHITSUNDAY,WHITSUNDAY REGIONAL,Website build/upgrades,5000
BBAS201343,Business Basics Round 2,Aurora Australis Enterprises,HILL,CASSOWARY COAST REGIONAL,Website build/upgrades,5000
BBAS201350,Business Basics Round 2,Digital Downpour,CAIRNS,CAIRNS REGIONAL,Training and coaching,5000
BBAS201352,Business Basics Round 2,The Trustee for McGeoch Family Trust t/a Advance Your Business,TOWNSVILLE,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS201353,Business Basics Round 2,CWCabinets,MARYBOROUGH,FRASER COAST REGIONAL,Website build/upgrades,5000
BBAS201355,Business Basics Round 2,PD Resort Management Pty. Ltd. trading as Port Douglas Sands Resort,COOK,DOUGLAS SHIRE,Website build/upgrades,5000
BBAS201357,Business Basics Round 2,Hayley Latham,SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,Website build/upgrades,5000
BBAS201359,Business Basics Round 2,James Bolt,CALLIDE,WESTERN DOWNS REGIONAL,Website build/upgrades,5000
BBAS201360,Business Basics Round 2,ww family pty ltd,MACKAY,MACKAY REGIONAL,Website build/upgrades,5000
BBAS201361,Business Basics Round 2,360 OZ Travel Pty Ltd,CAIRNS,CAIRNS REGIONAL,Training and coaching,5000
BBAS201364,Business Basics Round 2,Peter Sprigg trading as Villa Marine Holiday Apartments,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201365,Business Basics Round 2,Kinesiology by Design,KEPPEL,LIVINGSTONE SHIRE,Training and coaching,5000
BBAS201367,Business Basics Round 2,Limitless human nutrition and training,SOUTHERN DOWNS,GOONDIWINDI REGIONAL,Website build/upgrades,5000
BBAS201371,Business Basics Round 2,Samantha M Meurant,WARREGO,PAROO SHIRE,Training and coaching,5000
BBAS201373,Business Basics Round 2,Loretta Lorraine Woodford,BURDEKIN,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201374,Business Basics Round 2,Brendan Ardi,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201375,Business Basics Round 2,Selcouth Holidays,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201376,Business Basics Round 2,Bonds Termite Management & Pest Control,ROCKHAMPTON,ROCKHAMPTON REGIONAL,Website build/upgrades,5000
BBAS201378,Business Basics Round 2,Mason bridal boutique,KEPPEL,LIVINGSTONE SHIRE,Website build/upgrades,5000
BBAS201381,Business Basics Round 2,RDG Engineering P/L,BURNETT,BUNDABERG REGIONAL,Website build/upgrades,5000
BBAS201382,Business Basics Round 2,Community Bred,HILL,TABLELANDS REGIONAL,Website build/upgrades,5000
BBAS201388,Business Basics Round 2,Yes Property and Finance Services,TOWNSVILLE,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201389,Business Basics Round 2,NE Hospitality Services Pty Limited,MACKAY,MACKAY REGIONAL,Strategic marketing services,5000
BBAS201391,Business Basics Round 2,D & J Hussey Electrical,BUNDABERG,BUNDABERG REGIONAL,Training and coaching,5000
BBAS201396,Business Basics Round 2,Dragon Family Trust T/A Flat Cat Marketing,MACKAY,MACKAY REGIONAL,Training and coaching,5000
BBAS201400,Business Basics Round 2,ZenQuies,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201412,Business Basics Round 2,The Piccolo Pedlar,TOWNSVILLE,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS201414,Business Basics Round 2,Marjorie Specialty Jewellery,HILL,TABLELANDS REGIONAL,Website build/upgrades,5000
BBAS201416,Business Basics Round 2,AVGUARD,WHITSUNDAY,MACKAY REGIONAL,Website build/upgrades,5000
BBAS201418,Business Basics Round 2,Bright Sites Websites,ROCKHAMPTON,ROCKHAMPTON REGIONAL,Training and coaching,5000
BBAS201424,Business Basics Round 2,AcquireNess Bookkeeping,HINCHINBROOK,TOWNSVILLE CITY,Training and coaching,5000
BBAS201431,Business Basics Round 2,SPMD Pty LTD t/as Packs n Pedals,CALLIDE,NORTH BURNETT REGIONAL,Website build/upgrades,5000
BBAS201432,Business Basics Round 2,POSH LIFESTYLE,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201436,Business Basics Round 2,Empower Health NQ Pty Ltd,TOWNSVILLE,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201439,Business Basics Round 2,The Little House of Beauty,GLADSTONE,GLADSTONE REGIONAL,Website build/upgrades,5000
BBAS201440,Business Basics Round 2,Spectrum Autism Learning PTY LTD,HERVEY BAY,FRASER COAST REGIONAL,Website build/upgrades,5000
BBAS201441,Business Basics Round 2,Focus On Movement Pty Ltd,MULGRAVE,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201443,Business Basics Round 2,Red Hill Collective,TOWNSVILLE,TOWNSVILLE CITY,Training and coaching,5000
BBAS201444,Business Basics Round 2,Warren Lee,MULGRAVE,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201446,Business Basics Round 2,Jasons Air and Electrical,HINCHINBROOK,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201447,Business Basics Round 2,Pilot Path Pty Ltd,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201452,Business Basics Round 2,Goomburra Valley Campground,SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,Professional business advice,5000
BBAS201453,Business Basics Round 2,Paradise South Pty Ltd & WR Darby Super Pty Ltd,BURNETT,BUNDABERG REGIONAL,Website build/upgrades,5000
BBAS201456,Business Basics Round 2,WIC GROUP PTY. LIMITED,GLADSTONE,GLADSTONE REGIONAL,Strategic marketing services,5000
BBAS201458,Business Basics Round 2,BEACH BOOK BOUTIQUE,WHITSUNDAY,WHITSUNDAY REGIONAL,Strategic marketing services,5000
BBAS201459,Business Basics Round 2,GR Consulting (T/A G&L Roberts and R Rojas),GREGORY,LONGREACH REGIONAL,Website build/upgrades,5000
BBAS201461,Business Basics Round 2,Botanica Cafe Bar Kitchen - Edge Hill,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201462,Business Basics Round 2,Hashtag Plumbing abs Roofing,TOWNSVILLE,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201466,Business Basics Round 2,1770 Shuttle and Tours,BURNETT,GLADSTONE REGIONAL,Website build/upgrades,5000
BBAS201469,Business Basics Round 2,Melawondi Spring Retreat,GYMPIE,GYMPIE REGIONAL,Website build/upgrades,5000
BBAS201471,Business Basics Round 2,Illume Development & Behaviour,HINCHINBROOK,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201472,Business Basics Round 2,Queensland Wine Industry Association,SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,Website build/upgrades,5000
BBAS201474,Business Basics Round 2,The Stocks Family Trust & Tipglaze Pty Ltd,MUNDINGBURRA,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201475,Business Basics Round 2,The trustee for Getaway Trekking Unit Trust,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201479,Business Basics Round 2,Gleneden Family Farm,SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,Strategic marketing services,5000
BBAS201483,Business Basics Round 2,12RND Fitness Clifton Beach,BARRON RIVER,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS201484,Business Basics Round 2,Adventuredave Pty Ltd,COOK,NORTHERN PENINSULA AREA REGIONAL,Website build/upgrades,5000
BBAS201485,Business Basics Round 2,Vivid Gymwear Pty Ltd,BURDEKIN,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201490,Business Basics Round 2,Creative Flare NQ,THURINGOWA,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201496,Business Basics Round 2,C.J DARE & K.P ROONEY,GREGORY,BARCALDINE REGIONAL,Strategic marketing services,5000
BBAS201498,Business Basics Round 2,Tropical Wonderland Tour Services,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201502,Business Basics Round 2,M&K Wide Bay Electronics & Model Railways,HERVEY BAY,FRASER COAST REGIONAL,Website build/upgrades,5000
BBAS201513,Business Basics Round 2,TEN15 Pty Ltd t/a In2Lunch,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201517,Business Basics Round 2,Gympie Massage Therapist,GYMPIE,GYMPIE REGIONAL,Training and coaching,5000
BBAS201520,Business Basics Round 2,Home Maintenance Projects,MUNDINGBURRA,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201521,Business Basics Round 2,Charters Towers Driving School,TRAEGER,CHARTERS TOWERS REGIONAL,Training and coaching,5000
BBAS201522,Business Basics Round 2,FNQ Physio Pty Ltd.,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201525,Business Basics Round 2,Mollie Carter Blatch,WHITSUNDAY,MACKAY REGIONAL,Training and coaching,5000
BBAS201527,Business Basics Round 2,Scottvale Health Club,ROCKHAMPTON,ROCKHAMPTON REGIONAL,Website build/upgrades,5000
BBAS201528,Business Basics Round 2,Shiralee Clydesdales & Farm Stay,KEPPEL,LIVINGSTONE SHIRE,Website build/upgrades,5000
BBAS201529,Business Basics Round 2,Total Health and Education Foundation,SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,Website build/upgrades,5000
BBAS201537,Business Basics Round 2,Maximise Exterior Services PTY LTD,MIRANI,MACKAY REGIONAL,Website build/upgrades,5000
BBAS201542,Business Basics Round 2,Nenes Kitchen and Catering Services trading as Walla Street Cafe,BUNDABERG,BUNDABERG REGIONAL,Website build/upgrades,5000
BBAS201544,Business Basics Round 2,CJ and TC Geary,COOK,MAREEBA SHIRE,Website build/upgrades,5000
BBAS201545,Business Basics Round 2,Alison McDonald,HINCHINBROOK,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201550,Business Basics Round 2,DJ Mackie Plumbing,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201554,Business Basics Round 2,Laura Jane Abdalla,BARRON RIVER,MAREEBA SHIRE,Website build/upgrades,5000
BBAS201562,Business Basics Round 2,Kultchafi,BURNETT,BUNDABERG REGIONAL,Strategic marketing services,5000
BBAS201563,Business Basics Round 2,Rhinotech Moranbah,BURDEKIN,ISAAC REGIONAL,Website build/upgrades,5000
BBAS201567,Business Basics Round 2,Body N Soul Yoga,ROCKHAMPTON,ROCKHAMPTON REGIONAL,Website build/upgrades,5000
BBAS201569,Business Basics Round 2,Bluestar Productions Pty Ltd,BARRON RIVER,MAREEBA SHIRE,Website build/upgrades,5000
BBAS201572,Business Basics Round 2,Walker Restorations,GLADSTONE,GLADSTONE REGIONAL,Website build/upgrades,5000
BBAS201576,Business Basics Round 2,i can cook shereen enterprises,NANANGO,GYMPIE REGIONAL,Website build/upgrades,5000
BBAS201577,Business Basics Round 2,SW & AL Gale,GREGORY,CENTRAL HIGHLANDS REGIONAL,Website build/upgrades,5000
BBAS201580,Business Basics Round 2,Pioneer Bay Distillery Pty Ltd T/A Whitsunday Islands Spirit House,WHITSUNDAY,WHITSUNDAY REGIONAL,Website build/upgrades,5000
BBAS201587,Business Basics Round 2,The Linen Cupboard,WARREGO,BALONNE SHIRE,Professional business advice,5000
BBAS201588,Business Basics Round 2,Matthew Harris,ROCKHAMPTON,ROCKHAMPTON REGIONAL,Website build/upgrades,5000
BBAS201589,Business Basics Round 2,D.C. Bamblett & J.C. Hasling trading as Hands on Wildlife,HINCHINBROOK,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201590,Business Basics Round 2,Airlie Beach Swim Centre,WHITSUNDAY,WHITSUNDAY REGIONAL,Training and coaching,5000
BBAS201595,Business Basics Round 2,Jay & Jay Pty Ltd,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201598,Business Basics Round 2,Eminis World trading as Anchor Charters,WHITSUNDAY,WHITSUNDAY REGIONAL,Website build/upgrades,5000
BBAS201599,Business Basics Round 2,Lash Gold Pty Ltd,MACKAY,MACKAY REGIONAL,Website build/upgrades,5000
BBAS201604,Business Basics Round 2,Uncommon Ground Co,THURINGOWA,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS201606,Business Basics Round 2,Blueclick Photography,CAIRNS,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS201608,Business Basics Round 2,O Petits Biscuits,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201611,Business Basics Round 2,Zoo to You,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201614,Business Basics Round 2,Teddy Co FUNLAND,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201618,Business Basics Round 2,Stylish Pastimes,TRAEGER,MOUNT ISA CITY,Website build/upgrades,5000
BBAS201621,Business Basics Round 2,Capricorn Coast Kennels Yeppoon,KEPPEL,LIVINGSTONE SHIRE,Website build/upgrades,5000
BBAS201624,Business Basics Round 2,Moxie Mindset,BARRON RIVER,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS201625,Business Basics Round 2,Miss Chelsea's Dance Academy,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201629,Business Basics Round 2,RRMEI Pty Ltd trading as R&R Agencies,MIRANI,MACKAY REGIONAL,Website build/upgrades,5000
BBAS201634,Business Basics Round 2,WB Auto Sales,BUNDABERG,BUNDABERG REGIONAL,Website build/upgrades,5000
BBAS201636,Business Basics Round 2,Fortitude Enterprises (QLD) Pty Ltd T/A Gympie Regional Property Services,GYMPIE,GYMPIE REGIONAL,Website build/upgrades,5000
BBAS201637,Business Basics Round 2,Ad2Go Pty Ltd,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201639,Business Basics Round 2,Winshra International Pty Ltd,BARRON RIVER,CAIRNS REGIONAL,Business continuity and succession,5000
BBAS201644,Business Basics Round 2,Active Lifestyle Plus Options,MARYBOROUGH,FRASER COAST REGIONAL,Website build/upgrades,5000
BBAS201645,Business Basics Round 2,GREEN SPA AND BEAUTY CENTER PTY LTD,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201648,Business Basics Round 2,Jigsoar Media Pty Ltd,CAIRNS,CAIRNS REGIONAL,Training and coaching,5000
BBAS201650,Business Basics Round 2,Gulf Gold Pty Ltd,TRAEGER,ETHERIDGE SHIRE,Website build/upgrades,5000
BBAS201651,Business Basics Round 2,Cairns Total Roofing Supplies,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201659,Business Basics Round 2,Emerald Show Society Inc,GREGORY,CENTRAL HIGHLANDS REGIONAL,Strategic marketing services,5000
BBAS201664,Business Basics Round 2,Outback Numbers Pty Ltd,GREGORY,BARCALDINE REGIONAL,Website build/upgrades,5000
BBAS201669,Business Basics Round 2,Piston Pumps,SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,Website build/upgrades,5000
BBAS201675,Business Basics Round 2,Forshaw Contracting Pty Ltd,KEPPEL,LIVINGSTONE SHIRE,Website build/upgrades,5000
BBAS201677,Business Basics Round 2,Rivendells Equine Assisted Therapy,CALLIDE,BUNDABERG REGIONAL,Website build/upgrades,5000
BBAS201682,Business Basics Round 2,Fidget Funhouse,HERVEY BAY,FRASER COAST REGIONAL,Strategic marketing services,5000
BBAS201683,Business Basics Round 2,Personal Maids,HERVEY BAY,FRASER COAST REGIONAL,Website build/upgrades,5000
BBAS201689,Business Basics Round 2,Independent Support Solutions Pty Ltd,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201694,Business Basics Round 2,Elite Earthmoving Machinery Training Services Nth Qld Pty Ltd ATF The Brett Portelli Family Trust,COOK,MAREEBA SHIRE,Website build/upgrades,5000
BBAS201697,Business Basics Round 2,Purdy Family Trust ATF Top Notch Turf Pty Ltd,THURINGOWA,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201699,Business Basics Round 2,Musgrove Communications,BARRON RIVER,MAREEBA SHIRE,Website build/upgrades,5000
BBAS201701,Business Basics Round 2,Nathan Luke Odgers,BARRON RIVER,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS201703,Business Basics Round 2,Newrybar Rugs,WARREGO,MARANOA REGIONAL,Website build/upgrades,5000
BBAS201708,Business Basics Round 2,Natural Palm Day Spa,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
