Application ID,Project Round,Business Name,State Electorate 2017,Local Gov Area,Priority Area,Grant Funding Amount
BBAS104017,Business Basics Round 1,CAKB Pty Ltd atf The Singleton Family Trust,HERVEY BAY,FRASER COAST REGIONAL,Training and coaching,5000
BBAS104022,Business Basics Round 1,Toes in the Sand Pty Ltd as Trustee for MP Heaney Family Trust,CURRUMBIN,GOLD COAST CITY,Training and coaching,5000
BBAS104029,Business Basics Round 1,Marlin Coast Diving,BARRON RIVER,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS104034,Business Basics Round 1,4th Wilson Pty Ltd,STAFFORD,BRISBANE CITY,Professional business advice,5000
BBAS104037,Business Basics Round 1,Kate Marie Krieg,MUDGEERABA,GOLD COAST CITY,Website build/upgrades,5000
BBAS104042,Business Basics Round 1,Latin Shack,PINE RIVERS,MORETON BAY REGIONAL,Strategic marketing services,5000
BBAS104043,Business Basics Round 1,Lia's Lash and Beauty,NICKLIN,SUNSHINE COAST REGIONAL,Training and coaching,5000
BBAS104059,Business Basics Round 1,Moty Grau hair gallery,SURFERS PARADISE,GOLD COAST CITY,Strategic marketing services,5000
BBAS104063,Business Basics Round 1,Penny Kay Salon,JORDAN,IPSWICH CITY,Training and coaching,5000
BBAS104064,Business Basics Round 1,AuCare PTY LTD,TOOHEY,BRISBANE CITY,Professional business advice,5000
BBAS104073,Business Basics Round 1,Savvy Youth and Student Pty Ltd,BANCROFT,MORETON BAY REGIONAL,Website build/upgrades,5000
BBAS104081,Business Basics Round 1,Sophia Myra Arthur,BURLEIGH,GOLD COAST CITY,Training and coaching,5000
BBAS104085,Business Basics Round 1,LS Design Studio,BARRON RIVER,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS104086,Business Basics Round 1,Skippy Kitchenware Pty Ltd,MCCONNEL,BRISBANE CITY,Website build/upgrades,5000
BBAS104105,Business Basics Round 1,Jenny Oceans,COOMERA,GOLD COAST CITY,Website build/upgrades,5000
BBAS104108,Business Basics Round 1,Archie Woodworks,NUDGEE,BRISBANE CITY,Website build/upgrades,5000
BBAS104111,Business Basics Round 1,Xtramedia.net Pty Ltd,KAWANA,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS104112,Business Basics Round 1,GS CHAHAL TRANSPORT PTY LTD,BUNDAMBA,IPSWICH CITY,Professional business advice,5000
BBAS104116,Business Basics Round 1,Lucky 44,MAROOCHYDORE,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS104117,Business Basics Round 1,Happi Matters Pty Ltd,CURRUMBIN,GOLD COAST CITY,Strategic marketing services,5000
BBAS104119,Business Basics Round 1,Versatile Epoxy Solutions,COOMERA,GOLD COAST CITY,Website build/upgrades,5000
BBAS104121,Business Basics Round 1,Business Mergers,CALOUNDRA,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS104128,Business Basics Round 1,JNJ Solutions Pty Ltd,MANSFIELD,BRISBANE CITY,Training and coaching,5000
BBAS104133,Business Basics Round 1,Web Safe Staff,MOGGILL,BRISBANE CITY,Strategic marketing services,5000
BBAS104137,Business Basics Round 1,Shelben Sports PTY LTD,KAWANA,SUNSHINE COAST REGIONAL,Strategic marketing services,5000
BBAS104138,Business Basics Round 1,Span Engineering,GREGORY,CENTRAL HIGHLANDS REGIONAL,Professional business advice,5000
BBAS104143,Business Basics Round 1,Ulysses Coffee,HILL,TABLELANDS REGIONAL,Website build/upgrades,5000
BBAS104147,Business Basics Round 1,Crux Training Pty Ltd,INALA,BRISBANE CITY,Website build/upgrades,5000
BBAS104148,Business Basics Round 1,Wholehearted Hypnosis,NOOSA,NOOSA SHIRE,Strategic marketing services,5000
BBAS104171,Business Basics Round 1,Smor Kitchen,NOOSA,NOOSA SHIRE,Website build/upgrades,5000
BBAS104172,Business Basics Round 1,InStyle Realty,NUDGEE,BRISBANE CITY,Strategic marketing services,5000
BBAS104173,Business Basics Round 1,virk family trust,MURRUMBA,MORETON BAY REGIONAL,Website build/upgrades,5000
BBAS104175,Business Basics Round 1,Erin Core Sole Trader,BULIMBA,BRISBANE CITY,Training and coaching,5000
BBAS104185,Business Basics Round 1,Decision Scenarios Ops Pty Ltd,COOPER,BRISBANE CITY,Strategic marketing services,5000
