Application ID,Project Round,Business Name,State Electorate 2017,Local Gov Area,Priority Area,Grant Funding Amount
BBAS100001,Business Basics Round 1,Exceler8 Pty Ltd,MOUNT OMMANEY,BRISBANE CITY,Training and coaching,5000
BBAS100002,Business Basics Round 1,Yin Wellness Brisbane,MCCONNEL,BRISBANE CITY,Professional business advice,5000
BBAS100003,Business Basics Round 1,BNC Plumbing Solutions,CALOUNDRA,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100005,Business Basics Round 1,Total Therapy,CHATSWORTH,BRISBANE CITY,Business continuity and succession,5000
BBAS100007,Business Basics Round 1,Dancelab Dance Company,NICKLIN,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100008,Business Basics Round 1,Grounded Explorer,MAROOCHYDORE,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100009,Business Basics Round 1,Sweet Nutrients,WATERFORD,LOGAN CITY,Strategic marketing services,5000
BBAS100010,Business Basics Round 1,Catalyst Migration Pty Ltd,MCCONNEL,BRISBANE CITY,Website build/upgrades,5000
BBAS100011,Business Basics Round 1,Wild Earth Living Foods PTY LTD,MILLER,BRISBANE CITY,Strategic marketing services,5000
BBAS100012,Business Basics Round 1,Australian Organic Distillery Pty Ltd,KAWANA,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100013,Business Basics Round 1,LOVE TO R and D Pty Ltd,NINDERRY,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100014,Business Basics Round 1,ABMJT Trust Pty Ltd Trading as Plaster Fun House Brisbane East,CHATSWORTH,BRISBANE CITY,Website build/upgrades,5000
BBAS100015,Business Basics Round 1,MG Naturals Cosmetics,WOODRIDGE,LOGAN CITY,Training and coaching,5000
BBAS100017,Business Basics Round 1,My Plan Assist Pty Ltd,CURRUMBIN,GOLD COAST CITY,Website build/upgrades,5000
BBAS100019,Business Basics Round 1,Helski Media,KAWANA,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100020,Business Basics Round 1,Harveys Kitchen,GREENSLOPES,BRISBANE CITY,Website build/upgrades,5000
BBAS100021,Business Basics Round 1,Stagency,SANDGATE,BRISBANE CITY,Website build/upgrades,5000
BBAS100023,Business Basics Round 1,Everyday Womens Business TA Toni Lontis Enterprises,CURRUMBIN,GOLD COAST CITY,Training and coaching,5000
BBAS100024,Business Basics Round 1,Mi Salon Australia,CALOUNDRA,SUNSHINE COAST REGIONAL,Strategic marketing services,5000
BBAS100025,Business Basics Round 1,Burdi,SOUTHPORT,GOLD COAST CITY,Website build/upgrades,5000
BBAS100027,Business Basics Round 1,Videre Finance Pty Ltd as trustee for the Videre Finance Trust,STAFFORD,BRISBANE CITY,Website build/upgrades,5000
BBAS100028,Business Basics Round 1,DYNAMIC COMMERCIAL COLLECTIONS PTY LTD,MCCONNEL,BRISBANE CITY,Website build/upgrades,5000
BBAS100029,Business Basics Round 1,Pussycat Bow Pty Ltd,STAFFORD,BRISBANE CITY,Website build/upgrades,5000
BBAS100030,Business Basics Round 1,Across the Board Finance,REDCLIFFE,MORETON BAY REGIONAL,Website build/upgrades,5000
BBAS100032,Business Basics Round 1,Sahori Smitham,CURRUMBIN,GOLD COAST CITY,Website build/upgrades,5000
BBAS100033,Business Basics Round 1,Aquallis Finance Pty Ltd,BULIMBA,BRISBANE CITY,Website build/upgrades,5000
BBAS100034,Business Basics Round 1,Phoebe Greening Family Trust,BONNEY,GOLD COAST CITY,Website build/upgrades,5000
BBAS100035,Business Basics Round 1,Burley Tax & Advisory Pty Ltd,MERMAID BEACH,GOLD COAST CITY,Strategic marketing services,5000
BBAS100036,Business Basics Round 1,Personalised Property Sales Pty Ltd,CLAYFIELD,BRISBANE CITY,Website build/upgrades,5000
BBAS100037,Business Basics Round 1,Yogababy,CURRUMBIN,GOLD COAST CITY,Website build/upgrades,5000
BBAS100038,Business Basics Round 1,Veronica Marie Farmer,CURRUMBIN,GOLD COAST CITY,Website build/upgrades,5000
BBAS100039,Business Basics Round 1,JELLWAY PTY LTD,SOUTH BRISBANE,BRISBANE CITY,Website build/upgrades,5000
BBAS100040,Business Basics Round 1,Extreme Detailing and Coating Studio Pty Ltd,SOUTHPORT,GOLD COAST CITY,Website build/upgrades,5000
BBAS100042,Business Basics Round 1,Demonarche pty Ltd T/A PressF5 Pty Ltd,FERNY GROVE,MORETON BAY REGIONAL,Professional business advice,5000
BBAS100043,Business Basics Round 1,Naomi Ellis T/A MONTVILLE YURTS,GLASS HOUSE,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100045,Business Basics Round 1,Accumul8,ROCKHAMPTON,ROCKHAMPTON REGIONAL,Website build/upgrades,5000
BBAS100048,Business Basics Round 1,AFRE Property Management Pty Ltd,SANDGATE,BRISBANE CITY,Professional business advice,5000
BBAS100049,Business Basics Round 1,Ancient Candle Co.,SOUTHPORT,GOLD COAST CITY,Website build/upgrades,5000
BBAS100051,Business Basics Round 1,Tog Lady Loot,CURRUMBIN,GOLD COAST CITY,Strategic marketing services,5000
BBAS100052,Business Basics Round 1,Retro Caravan Renovations,BURLEIGH,GOLD COAST CITY,Website build/upgrades,5000
BBAS100053,Business Basics Round 1,Vivid Loans Pty Ltd,MERMAID BEACH,GOLD COAST CITY,Website build/upgrades,5000
BBAS100054,Business Basics Round 1,Nicholas Alexander James Fairbairn,NOOSA,NOOSA SHIRE,Website build/upgrades,5000
BBAS100055,Business Basics Round 1,The Chiro Health Club,SOUTHPORT,GOLD COAST CITY,Professional business advice,5000
BBAS100057,Business Basics Round 1,Kartia Designs,SANDGATE,BRISBANE CITY,Training and coaching,5000
BBAS100058,Business Basics Round 1,Performance Investments Pty Ltd ATF Performance Family Trust,MACALISTER,LOGAN CITY,Website build/upgrades,5000
BBAS100059,Business Basics Round 1,BTA PTY LTD T/A BAROLIN TRAVEL BUNDABERG,BUNDABERG,BUNDABERG REGIONAL,Training and coaching,5000
BBAS100060,Business Basics Round 1,Blokepedia Pty. Ltd.,SANDGATE,BRISBANE CITY,Website build/upgrades,5000
BBAS100061,Business Basics Round 1,Dr Amy Rhona Carmichael,NOOSA,NOOSA SHIRE,Strategic marketing services,5000
BBAS100062,Business Basics Round 1,Good Day Co. Pty Ltd T/A Pleasant State,MAROOCHYDORE,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100063,Business Basics Round 1,Penreece Pty Ltd atf R & P Kennedy Family Trust ta Sunshine Organics,NANANGO,GYMPIE REGIONAL,Training and coaching,5000
BBAS100064,Business Basics Round 1,Digital Playhouse Pty Ltd,BURNETT,GLADSTONE REGIONAL,Strategic marketing services,5000
BBAS100065,Business Basics Round 1,The Trustee for the CPM Trust,BUDERIM,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100067,Business Basics Round 1,Healthy Surface,MOUNT OMMANEY,BRISBANE CITY,Strategic marketing services,5000
BBAS100068,Business Basics Round 1,The Grove Country Gardens,CONDAMINE,TOOWOOMBA REGIONAL,Website build/upgrades,5000
BBAS100070,Business Basics Round 1,Hunter Marketing Co.,GREENSLOPES,BRISBANE CITY,Website build/upgrades,5000
BBAS100071,Business Basics Round 1,Catch Photography t/as Briony Walker Photographer,BULIMBA,BRISBANE CITY,Training and coaching,5000
BBAS100072,Business Basics Round 1,TLC Trust - T/A Travel Weddings,CONDAMINE,TOOWOOMBA REGIONAL,Website build/upgrades,5000
BBAS100073,Business Basics Round 1,Surfside Engraving,CURRUMBIN,GOLD COAST CITY,Website build/upgrades,5000
BBAS100074,Business Basics Round 1,Luxury Interiors Direct PTY LTD,MERMAID BEACH,GOLD COAST CITY,Strategic marketing services,5000
BBAS100075,Business Basics Round 1,GGA Industries Pty Ltd t/a Glowing Green Australia,CURRUMBIN,GOLD COAST CITY,Website build/upgrades,5000
BBAS100076,Business Basics Round 1,HABITANCE PTY LTD,NICKLIN,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100078,Business Basics Round 1,LUNA AND SUN THE LABEL,GREENSLOPES,BRISBANE CITY,Strategic marketing services,5000
BBAS100080,Business Basics Round 1,Custard Apples Australia Inc.,CALLIDE,BUNDABERG REGIONAL,Website build/upgrades,5000
BBAS100081,Business Basics Round 1,Monica Smith Trading as Aktiv Living and Health,KAWANA,SUNSHINE COAST REGIONAL,Training and coaching,5000
BBAS100083,Business Basics Round 1,W & G Nominees Pty Ltd,LOCKYER,LOCKYER VALLEY REGIONAL,Strategic marketing services,5000
BBAS100084,Business Basics Round 1,Seeds of Knowledge Pty Ltd,SOUTH BRISBANE,BRISBANE CITY,Website build/upgrades,5000
BBAS100086,Business Basics Round 1,Yeah The Boys Apparel,THEODORE,GOLD COAST CITY,Website build/upgrades,5000
BBAS100087,Business Basics Round 1,Quantum Leap Pty Ltd,BROADWATER,GOLD COAST CITY,Strategic marketing services,5000
BBAS100088,Business Basics Round 1,Light the Dark Pty Ltd,CALLIDE,WESTERN DOWNS REGIONAL,Business continuity and succession,5000
BBAS100089,Business Basics Round 1,Spirovski Family Trust,SOUTHPORT,GOLD COAST CITY,Website build/upgrades,5000
BBAS100090,Business Basics Round 1,Between Two Pines,MORAYFIELD,MORETON BAY REGIONAL,Training and coaching,5000
BBAS100094,Business Basics Round 1,C& DG Emge trading as Soul Arch Media & Marketing,CURRUMBIN,GOLD COAST CITY,Website build/upgrades,5000
BBAS100095,Business Basics Round 1,Combat Pest Solutions Pty Ltd,LYTTON,BRISBANE CITY,Website build/upgrades,5000
BBAS100096,Business Basics Round 1,Totally Transformed,NINDERRY,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100097,Business Basics Round 1,Silvershotz Pty Ltd,GLASS HOUSE,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100099,Business Basics Round 1,Amanda Katharine Bulow,BUNDAMBA,IPSWICH CITY,Training and coaching,5000
BBAS100100,Business Basics Round 1,Schaber Family trust,MAROOCHYDORE,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100102,Business Basics Round 1,Monster Services Pty Ltd ATF The Otherside Family Trust,MERMAID BEACH,GOLD COAST CITY,Website build/upgrades,5000
BBAS100105,Business Basics Round 1,Earthletica Pty Ltd,FERNY GROVE,BRISBANE CITY,Website build/upgrades,5000
BBAS100108,Business Basics Round 1,LauraJane McDonough,GREENSLOPES,BRISBANE CITY,Website build/upgrades,5000
BBAS100110,Business Basics Round 1,Montagu Group Pty >td,INALA,BRISBANE CITY,Website build/upgrades,5000
BBAS100112,Business Basics Round 1,Thomas Allan Gray,EVERTON,MORETON BAY REGIONAL,Training and coaching,5000
BBAS100113,Business Basics Round 1,Conductor Hub Pty Ltd,COOMERA,GOLD COAST CITY,Website build/upgrades,5000
BBAS100116,Business Basics Round 1,Piper Leak Detection,OODGEROO,REDLAND CITY,Website build/upgrades,5000
BBAS100120,Business Basics Round 1,KE & KA Pty Ltd trading as Aaronlee Retreat,SCENIC RIM,SCENIC RIM REGIONAL,Website build/upgrades,5000
BBAS100123,Business Basics Round 1,The Trustee for The Kunkenrenken Trust Trading As COCODRY,NOOSA,NOOSA SHIRE,Strategic marketing services,5000
BBAS100125,Business Basics Round 1,JvB Photography,COOPER,BRISBANE CITY,Strategic marketing services,5000
BBAS100126,Business Basics Round 1,Western Districts Baseball Club Inc.,MOUNT OMMANEY,BRISBANE CITY,Website build/upgrades,5000
BBAS100127,Business Basics Round 1,Italian Job Mobile Catering,CURRUMBIN,GOLD COAST CITY,Strategic marketing services,5000
BBAS100128,Business Basics Round 1,My Pc Tech,GAVEN,GOLD COAST CITY,Website build/upgrades,5000
BBAS100129,Business Basics Round 1,Shannon Telley,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS100130,Business Basics Round 1,Winns Corp Pty Ltd,MUDGEERABA,GOLD COAST CITY,Website build/upgrades,5000
BBAS100131,Business Basics Round 1,Snowater,MCCONNEL,BRISBANE CITY,Professional business advice,5000
BBAS100132,Business Basics Round 1,SQSW Solutions Pty Ltd,MANSFIELD,BRISBANE CITY,Website build/upgrades,5000
BBAS100134,Business Basics Round 1,Prepare my property,CONDAMINE,TOOWOOMBA REGIONAL,Website build/upgrades,5000
BBAS100135,Business Basics Round 1,Surfshots Noosa Photography,NOOSA,NOOSA SHIRE,Training and coaching,5000
BBAS100136,Business Basics Round 1,Empathy First,FERNY GROVE,BRISBANE CITY,Strategic marketing services,5000
BBAS100137,Business Basics Round 1,Sunny Coast Plumbing and Gas,KAWANA,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100139,Business Basics Round 1,Cultivate Business Support Services,CURRUMBIN,GOLD COAST CITY,Website build/upgrades,5000
BBAS100140,Business Basics Round 1,KJC Bookkeeping,OODGEROO,REDLAND CITY,Website build/upgrades,5000
BBAS100141,Business Basics Round 1,The Workshop Bar,GLADSTONE,GLADSTONE REGIONAL,Website build/upgrades,5000
BBAS100142,Business Basics Round 1,Arcadia Recruitment,MCCONNEL,BRISBANE CITY,Strategic marketing services,5000
BBAS100143,Business Basics Round 1,ML Anderson Discretionary Trust trading as Sustainable Marketing Services (Australia) Pty Ltd,OODGEROO,REDLAND CITY,Website build/upgrades,5000
BBAS100144,Business Basics Round 1,Mew Migration,TOOHEY,BRISBANE CITY,Website build/upgrades,5000
BBAS100145,Business Basics Round 1,Jestomic Pty Ltd,MERMAID BEACH,GOLD COAST CITY,Strategic marketing services,5000
BBAS100146,Business Basics Round 1,Zen Yoga and Mindfulness Centre Pty Ltd,MILLER,BRISBANE CITY,Strategic marketing services,5000
BBAS100148,Business Basics Round 1,Mayd,BULIMBA,BRISBANE CITY,Training and coaching,5000
BBAS100149,Business Basics Round 1,My Business Partner Pty Ltd ATF The Napper Trust,REDLANDS,REDLAND CITY,Website build/upgrades,5000
BBAS100151,Business Basics Round 1,My Alchemy,JORDAN,IPSWICH CITY,Strategic marketing services,5000
BBAS100154,Business Basics Round 1,Speaking Styles,SURFERS PARADISE,GOLD COAST CITY,Training and coaching,5000
BBAS100155,Business Basics Round 1,Puraest,MERMAID BEACH,GOLD COAST CITY,Strategic marketing services,5000
BBAS100157,Business Basics Round 1,DR CT PTY LTD,SURFERS PARADISE,GOLD COAST CITY,Website build/upgrades,5000
BBAS100158,Business Basics Round 1,Big Bold Branding Pty Ltd,CAPALABA,REDLAND CITY,Strategic marketing services,5000
BBAS100159,Business Basics Round 1,Green Realty Agencies Pty.LTD.,SURFERS PARADISE,GOLD COAST CITY,Strategic marketing services,5000
BBAS100160,Business Basics Round 1,KAC INTERNATIONAL PTY LTD,ALGESTER,BRISBANE CITY,Strategic marketing services,5000
BBAS100162,Business Basics Round 1,Safety Glasses Online,NICKLIN,SUNSHINE COAST REGIONAL,Training and coaching,5000
BBAS100167,Business Basics Round 1,Optimum Thinking,BULIMBA,BRISBANE CITY,Website build/upgrades,5000
BBAS100168,Business Basics Round 1,Kieran Duffey,NUDGEE,BRISBANE CITY,Strategic marketing services,5000
BBAS100169,Business Basics Round 1,Judith Anne Griffiths (JagPsychology),MAIWAR,BRISBANE CITY,Training and coaching,5000
BBAS100170,Business Basics Round 1,Tim Kelly Property Pty Ltd,SOUTHERN DOWNS,GOONDIWINDI REGIONAL,Website build/upgrades,5000
BBAS100171,Business Basics Round 1,CF Accounting,STRETTON,BRISBANE CITY,Training and coaching,5000
BBAS100172,Business Basics Round 1,Athonika Organic Cosmetics,CONDAMINE,TOOWOOMBA REGIONAL,Website build/upgrades,5000
BBAS100173,Business Basics Round 1,Nian Marketing Pty Ltd trading as Career Voice,BULIMBA,BRISBANE CITY,Website build/upgrades,5000
BBAS100174,Business Basics Round 1,Redlands Accounting and Taxation,OODGEROO,REDLAND CITY,Website build/upgrades,5000
BBAS100176,Business Basics Round 1,Household Checkup,NUDGEE,BRISBANE CITY,Website build/upgrades,5000
BBAS100178,Business Basics Round 1,Mediable,MANSFIELD,BRISBANE CITY,Strategic marketing services,5000
BBAS100180,Business Basics Round 1,The Booking Box,MAROOCHYDORE,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100181,Business Basics Round 1,Atlas Lawyers Pty Ltd,MERMAID BEACH,GOLD COAST CITY,Website build/upgrades,5000
BBAS100182,Business Basics Round 1,Zoe & Co,LYTTON,BRISBANE CITY,Website build/upgrades,5000
BBAS100185,Business Basics Round 1,Defining Health,COOPER,BRISBANE CITY,Website build/upgrades,5000
BBAS100186,Business Basics Round 1,The Brad & Stacey Family Trust trading as Sancerre Estate PTY LTD,SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,Training and coaching,5000
BBAS100189,Business Basics Round 1,LVL Up Consulting Pty Ltd,MOUNT OMMANEY,BRISBANE CITY,Strategic marketing services,5000
BBAS100190,Business Basics Round 1,goodplan,BULIMBA,BRISBANE CITY,Website build/upgrades,5000
BBAS100192,Business Basics Round 1,Art Therapy Gold Coast,BURLEIGH,GOLD COAST CITY,Website build/upgrades,5000
BBAS100193,Business Basics Round 1,Eyetell,SURFERS PARADISE,GOLD COAST CITY,Website build/upgrades,5000
BBAS100195,Business Basics Round 1,VARIETY ALLSTARS TALENT SCHOOL,INALA,BRISBANE CITY,Website build/upgrades,5000
BBAS100197,Business Basics Round 1,LELE&MAC PTY LTD,SOUTHPORT,GOLD COAST CITY,Website build/upgrades,5000
BBAS100199,Business Basics Round 1,Global Empowering Solutions,IPSWICH,IPSWICH CITY,Training and coaching,5000
BBAS100200,Business Basics Round 1,Platinum Thai,REDLANDS,REDLAND CITY,Website build/upgrades,5000
BBAS100201,Business Basics Round 1,Y & C Global Trading Pty Ltd,SOUTH BRISBANE,BRISBANE CITY,Website build/upgrades,5000
BBAS100203,Business Basics Round 1,Insure Gold Coast Pty Ltd,MERMAID BEACH,GOLD COAST CITY,Strategic marketing services,5000
BBAS100204,Business Basics Round 1,Complete Quality Consult,LYTTON,BRISBANE CITY,Website build/upgrades,5000
BBAS100205,Business Basics Round 1,HealthMemmo Pty Ltd,MANSFIELD,BRISBANE CITY,Website build/upgrades,5000
BBAS100206,Business Basics Round 1,Bloome Consulting,COOPER,BRISBANE CITY,Training and coaching,5000
BBAS100207,Business Basics Round 1,kekai Swimwear,SURFERS PARADISE,GOLD COAST CITY,Strategic marketing services,5000
BBAS100208,Business Basics Round 1,Starcomm Technologies,MERMAID BEACH,GOLD COAST CITY,Website build/upgrades,5000
BBAS100209,Business Basics Round 1,Mikaela Duffy,COOPER,BRISBANE CITY,Website build/upgrades,5000
BBAS100210,Business Basics Round 1,Networking Skills Pty Ltd t/a Collective Results,SURFERS PARADISE,GOLD COAST CITY,Strategic marketing services,5000
BBAS100211,Business Basics Round 1,Zamanu Pty Ltd,BURLEIGH,GOLD COAST CITY,Strategic marketing services,5000
BBAS100212,Business Basics Round 1,Woodforde Group Pty Ltd,LYTTON,BRISBANE CITY,Professional business advice,5000
BBAS100214,Business Basics Round 1,Why X How Consulting,MAIWAR,BRISBANE CITY,Strategic marketing services,5000
BBAS100215,Business Basics Round 1,Intuitive Food Solutions,NOOSA,NOOSA SHIRE,Strategic marketing services,5000
BBAS100217,Business Basics Round 1,Nicolette Ward,SPRINGWOOD,LOGAN CITY,Training and coaching,5000
BBAS100218,Business Basics Round 1,MATES RATES CARPET CLEANING & PEST CONTROL PTY LTD,THEODORE,GOLD COAST CITY,Website build/upgrades,5000
BBAS100220,Business Basics Round 1,Trilogy Physiotherapy,MOUNT OMMANEY,BRISBANE CITY,Website build/upgrades,5000
BBAS100221,Business Basics Round 1,Nathans Boutique,BUNDABERG,BUNDABERG REGIONAL,Website build/upgrades,5000
BBAS100223,Business Basics Round 1,DIS Computer Repairs,SURFERS PARADISE,GOLD COAST CITY,Strategic marketing services,5000
BBAS100224,Business Basics Round 1,Bamboo Behinds,MCCONNEL,BRISBANE CITY,Website build/upgrades,5000
BBAS100225,Business Basics Round 1,Market You Market Me Pty Ltd,STAFFORD,BRISBANE CITY,Website build/upgrades,5000
BBAS100226,Business Basics Round 1,Startup Apprentice Pty Ltd,MERMAID BEACH,GOLD COAST CITY,Website build/upgrades,5000
BBAS100227,Business Basics Round 1,Ice N Easy Pty. Limited,KAWANA,SUNSHINE COAST REGIONAL,Training and coaching,5000
BBAS100228,Business Basics Round 1,The Baking Bunch,COOPER,BRISBANE CITY,Website build/upgrades,5000
BBAS100230,Business Basics Round 1,Honni Hayton Counselling,SCENIC RIM,SCENIC RIM REGIONAL,Website build/upgrades,5000
BBAS100231,Business Basics Round 1,Glass Engine Pty Ltd,BULIMBA,BRISBANE CITY,Website build/upgrades,5000
BBAS100233,Business Basics Round 1,Spectrum Property Group Pty Ltd,MOUNT OMMANEY,BRISBANE CITY,Strategic marketing services,5000
BBAS100234,Business Basics Round 1,JESSICA LYDIARD PHYSIOTHERAPY PTY LTD,MERMAID BEACH,GOLD COAST CITY,Website build/upgrades,5000
BBAS100236,Business Basics Round 1,JS Mortgage Services Pty Ltd,BANCROFT,MORETON BAY REGIONAL,Website build/upgrades,5000
BBAS100239,Business Basics Round 1,Engaged Super Pty Ltd,GREENSLOPES,BRISBANE CITY,Website build/upgrades,5000
BBAS100241,Business Basics Round 1,itas lawyers pty ltd,MCCONNEL,BRISBANE CITY,Website build/upgrades,5000
BBAS100243,Business Basics Round 1,JesEmi Data and Communications,NICKLIN,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100244,Business Basics Round 1,Identity Empowerment Coaching,NICKLIN,SUNSHINE COAST REGIONAL,Strategic marketing services,5000
BBAS100246,Business Basics Round 1,Great Start Financial,MUNDINGBURRA,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS100247,Business Basics Round 1,Sage Naturopathics Pty Ltd,MUDGEERABA,GOLD COAST CITY,Strategic marketing services,5000
BBAS100248,Business Basics Round 1,Coffee News Australia,SURFERS PARADISE,GOLD COAST CITY,Training and coaching,5000
BBAS100250,Business Basics Round 1,Morrissey Tecchnologies,MUDGEERABA,GOLD COAST CITY,Website build/upgrades,5000
BBAS100251,Business Basics Round 1,Undersea Productions,NOOSA,NOOSA SHIRE,Training and coaching,5000
BBAS100252,Business Basics Round 1,Greenhouse Health Hub,CURRUMBIN,GOLD COAST CITY,Website build/upgrades,5000
BBAS100255,Business Basics Round 1,SuziQPots,MURRUMBA,MORETON BAY REGIONAL,Website build/upgrades,5000
BBAS100256,Business Basics Round 1,Louisa Anne Stephens Trading as Nutrition Wisdom,MAIWAR,BRISBANE CITY,Website build/upgrades,5000
BBAS100257,Business Basics Round 1,Andrews IT Solutions,BUNDAMBA,IPSWICH CITY,Website build/upgrades,5000
BBAS100258,Business Basics Round 1,Tang Lawyers Australia Pty Ltd,TOOHEY,BRISBANE CITY,Professional business advice,5000
BBAS100259,Business Basics Round 1,The Village B&B,MUDGEERABA,GOLD COAST CITY,Website build/upgrades,5000
BBAS100260,Business Basics Round 1,Urbankind,NINDERRY,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100261,Business Basics Round 1,My Financial Design Pty Ltd,MCCONNEL,BRISBANE CITY,Strategic marketing services,5000
BBAS100262,Business Basics Round 1,Studio 15B,MCCONNEL,BRISBANE CITY,Strategic marketing services,5000
BBAS100264,Business Basics Round 1,The Shop Dalby,WARREGO,WESTERN DOWNS REGIONAL,Strategic marketing services,5000
BBAS100265,Business Basics Round 1,My Personal Training,MAIWAR,BRISBANE CITY,Website build/upgrades,5000
BBAS100267,Business Basics Round 1,Bubbles Organic Pty Ltd,MACALISTER,LOGAN CITY,Website build/upgrades,5000
BBAS100268,Business Basics Round 1,BPW Group PTY LTD,MCCONNEL,BRISBANE CITY,Website build/upgrades,5000
BBAS100269,Business Basics Round 1,"The Wren Family Trust, trading as Spend Clearly",EVERTON,MORETON BAY REGIONAL,Training and coaching,5000
BBAS100270,Business Basics Round 1,Daizitel Pty Ltd,SOUTH BRISBANE,BRISBANE CITY,Training and coaching,5000
BBAS100271,Business Basics Round 1,Business Fusion,BONNEY,GOLD COAST CITY,Strategic marketing services,5000
BBAS100274,Business Basics Round 1,The Reliable Guy,COOMERA,GOLD COAST CITY,Professional business advice,5000
BBAS100275,Business Basics Round 1,Get Synergy (trading under Travel For Good Pty Ltd),KAWANA,SUNSHINE COAST REGIONAL,Strategic marketing services,5000
BBAS100276,Business Basics Round 1,Reforest Australia Pty Ltd,MCCONNEL,BRISBANE CITY,Website build/upgrades,5000
BBAS100279,Business Basics Round 1,Reliable Accounting Solutions,ASPLEY,BRISBANE CITY,Strategic marketing services,5000
BBAS100280,Business Basics Round 1,Coastal Dietetics,KAWANA,SUNSHINE COAST REGIONAL,Strategic marketing services,5000
BBAS100281,Business Basics Round 1,New Door Realty,BONNEY,GOLD COAST CITY,Website build/upgrades,5000
BBAS100283,Business Basics Round 1,Holistic Pro Health Performance,CURRUMBIN,GOLD COAST CITY,Website build/upgrades,5000
BBAS100285,Business Basics Round 1,Bed Bliss Pty Ltd,NUDGEE,BRISBANE CITY,Website build/upgrades,5000
BBAS100286,Business Basics Round 1,Tinfeld Pty. Ltd. trading as Visage Graphic Productions,CAIRNS,CAIRNS REGIONAL,Training and coaching,5000
BBAS100287,Business Basics Round 1,Unleash your Vitality,MOUNT OMMANEY,BRISBANE CITY,Training and coaching,5000
BBAS100288,Business Basics Round 1,Viking Mortgages,NOOSA,NOOSA SHIRE,Website build/upgrades,5000
BBAS100289,Business Basics Round 1,Agnes Excavations,BURNETT,GLADSTONE REGIONAL,Training and coaching,5000
BBAS100290,Business Basics Round 1,SIDC PTY LTD,SPRINGWOOD,REDLAND CITY,Website build/upgrades,5000
BBAS100291,Business Basics Round 1,Monique Baques,MAIWAR,BRISBANE CITY,Strategic marketing services,5000
BBAS100292,Business Basics Round 1,Techtaalik Pty Ltd t/a Rod Armour,COOPER,BRISBANE CITY,Strategic marketing services,5000
BBAS100294,Business Basics Round 1,Negawatt Building Optimisation Pty Ltd,BROADWATER,GOLD COAST CITY,Strategic marketing services,5000
BBAS100295,Business Basics Round 1,Combat Sports Colosseum,CALOUNDRA,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100296,Business Basics Round 1,Full Scope Accountants and Business Advisors,SCENIC RIM,LOGAN CITY,Strategic marketing services,5000
BBAS100297,Business Basics Round 1,Mark Your Tax Accountant Pty Ltd,BUDERIM,SUNSHINE COAST REGIONAL,Strategic marketing services,5000
BBAS100298,Business Basics Round 1,Digitz Pty Ltd,BROADWATER,GOLD COAST CITY,Professional business advice,5000
BBAS100299,Business Basics Round 1,Brisbane Small Business,CLAYFIELD,BRISBANE CITY,Strategic marketing services,5000
BBAS100300,Business Basics Round 1,The Answer is Yes Pty Ltd,BURDEKIN,WHITSUNDAY REGIONAL,Website build/upgrades,5000
BBAS100303,Business Basics Round 1,Future Abundance Pty Ltd,SANDGATE,BRISBANE CITY,Strategic marketing services,5000
BBAS100305,Business Basics Round 1,Duke Legal Pty Ltd,MAROOCHYDORE,SUNSHINE COAST REGIONAL,Strategic marketing services,5000
BBAS100306,Business Basics Round 1,Steele Environmental T/AS BAL Assessments Queensland,GLASS HOUSE,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS100307,Business Basics Round 1,Love This City Inc,BURLEIGH,GOLD COAST CITY,Website build/upgrades,5000
BBAS100308,Business Basics Round 1,Brown Fox Media House,MANSFIELD,BRISBANE CITY,Website build/upgrades,5000
BBAS100309,Business Basics Round 1,The Wholesome Gift Box,BUDERIM,SUNSHINE COAST REGIONAL,Strategic marketing services,5000
BBAS100311,Business Basics Round 1,RM Estate Agents,INALA,BRISBANE CITY,Website build/upgrades,5000
BBAS100315,Business Basics Round 1,cummins & friends,SPRINGWOOD,LOGAN CITY,Website build/upgrades,5000
